time,lead_speed,follower_speed,gap
32865.0,0.005,0.026,1.2914810773271528
32865.1,0.005,0.011000000000000001,1.2865824028370163
32865.2,0.01,0.01,1.2779526637747995
32865.3,0.017999999999267283,0.014999999999604541,1.2558057964391782
32865.399999999994,0.024000000000346473,0.01800000000007603,1.2558059070431522
32865.499999999985,0.014000000000219963,0.013000000000527898,1.2422791433143834
32865.599999999984,0.02199999999921024,0.007999999999995155,1.2385983566330123
32865.69999999998,0.024000000000756288,0.011999999999709757,1.2336719152487676
32865.79999999999,0.011000000000331332,0.013999999999712279,1.2250745661688471
32865.89999999999,0.02099999999847175,0.013000000001294816,1.211550991204211
32865.999999999985,0.022000000000979524,0.003999999999474035,1.2029651552232128
32866.099999999984,0.013000000001102623,0.016999999999062813,1.189443299280632
32866.19999999998,0.016999999996792775,0.01100000000121882,1.1808690557358554
32866.29999999998,0.04099999999925402,0.008999999999331541,1.1759216902433884
32866.39999999998,0.02800000000059161,0.011000000000845613,1.1538291722902656
32866.49999999998,0.048999999993140884,0.005999999999250535,1.1488791783981886
32866.599999999984,0.07299999999737722,0.014999999999532913,1.143936524396726
32866.69999999997,0.08799999999181166,0.008000000001308152,1.1254776794935075
32866.799999999974,0.13399999999390824,0.007999999999757791,1.1156267037424126
32866.89999999997,0.1359999999933754,0.011999999995732185,1.1058055349851594
32866.99999999997,0.1899999999836957,0.02700000000072429,1.0824835318726451
32867.09999999997,0.22499999999413453,0.012000000001370631,1.0678498069803242
32867.19999999997,0.2449999999917449,0.024999999995539427,1.0532846898817103
32867.299999999974,0.2839999999842152,0.027000000004218712,1.0300736242156727
32867.399999999965,0.3359999999741413,0.012000000002889016,0.9972762734032354
32867.49999999996,0.4049999999871609,0.012000000000596148,0.9821746252798844
32867.59999999996,0.401000000006275,0.007000000000183368,0.9538177664145352
32867.69999999996,0.4199999999713685,0.010000000000853172,0.9393113363617198
32867.79999999996,0.5339999999557148,0.0039999999996137535,0.8979892547945525
32867.89999999996,0.5690000000163574,0.010999999999211516,0.8704764545985908
32867.99999999996,0.5309999999827842,0.005000000002230519,0.8481183720125376
32868.099999999955,0.6579999999359439,0.005999999998414778,0.8175753290196273
32868.19999999995,0.7529999999826922,0.011999999994942669,0.7879327433890086
32868.29999999995,0.7949999999461728,0.026999999993363336,0.7508651852223203
32868.39999999995,0.9569999999237996,0.03300000000035992,0.7206166770397413
32868.49999999995,1.0669999999430255,0.02500000000825293,0.6941154502813252
32868.59999999995,1.1909999999465553,0.01199999999871534,0.6471329859631139
32868.699999999946,1.2779999999483542,0.02200000000146956,0.605690776217485
32868.799999999945,1.4169999999025262,0.01199999999475021,0.5748100681911028
32868.899999999936,1.5709999999372728,0.032000000001857334,0.5424742883430387
32868.999999999935,1.6519999999380188,0.009000000003059117,0.5130823109047782
32869.09999999993,1.8119999998898089,0.02799999999289111,0.4981492555593272
32869.19999999994,1.985999999919504,0.017000000011406606,0.4586483668244679
32869.29999999994,2.0909999999380995,0.009999999992028951,0.4528355157211754
32869.399999999936,2.210999999896144,0.03099999999154865,0.44234167184995066
32869.499999999935,2.3859999998977943,0.029000000004450813,0.4323159823873457
32869.59999999993,2.517999999909576,0.02300000000636418,0.4675147872513801
32869.69999999993,2.686999999872586,0.012000000003489102,0.4964710160772361
32869.79999999993,2.865999999907145,0.014999999994883863,0.5436357249193504
32869.89999999993,2.9749999998843486,0.02099999999694269,0.6008721551326204
32869.999999999935,3.1679999998962582,0.02499999999551751,0.6925103114530309
32870.099999999926,3.2609999999063404,0.026000000010073347,0.7964522743497513
32870.199999999924,3.442999999878112,0.005000000007844854,0.9368942639414586
32870.29999999992,3.576999999880595,0.007999999997621153,1.1072554656030875
32870.399999999914,3.742999999891378,0.003000000005688176,1.2630463551404034
32870.49999999992,3.8539999998887997,0.003999999989230407,1.4587254192522234
32870.59999999992,3.9999999999363487,0.023999999986967814,1.6933214987120109
32870.69999999992,4.053999999885591,0.02900000000287167,1.9308879709044025
32870.799999999916,4.271999999856215,0.019000000014782727,2.1858085216099656
32870.899999999914,4.377999999851281,0.005000000000600649,2.4710510842367936
32870.99999999991,4.600999999876897,0.013999999995911424,2.7916620031834904
32871.09999999991,4.639999999954868,0.012999999994798915,3.108496290662964
32871.19999999991,4.771999999855729,0.02000000000917686,3.442164369641401
32871.29999999992,4.926999999859677,0.006999999982893836,3.804785214986596
32871.399999999914,5.066999999880487,0.06699999992511473,4.184096952942453
32871.499999999905,5.169999999928832,0.16099999987965327,4.57631334503631
32871.599999999904,5.250999999882062,0.3389999997844386,4.961338826713171
32871.6999999999,5.410999999859056,0.5749999998078159,5.3521989607636815
32871.7999999999,5.497999999979341,0.7659999997551427,5.741356107675573
32871.8999999999,5.51299999992271,1.0619999996981722,6.106893280674268
32871.999999999905,5.644999999880603,1.3259999997408631,6.449978862293594
32872.099999999904,5.7149999999375884,1.5879999997309704,6.78276162691428
32872.199999999895,5.785999999938163,1.8419999997584104,7.103540218668869
32872.299999999894,5.836999999932445,2.0819999997061847,7.398602705671487
32872.399999999885,5.87800000003526,2.386999999649679,7.689188467568037
32872.49999999989,5.8379999999232375,2.6939999996913024,7.932812371797572
32872.59999999989,5.998999999875608,2.972999999666442,8.167220705078442
32872.69999999989,6.024999999962066,3.2729999997471806,8.38835107172272
32872.79999999989,6.08100000000816,3.4729999996882612,8.601696499903095
32872.899999999885,6.049999999920514,3.7849999997284898,8.779091264004112
32872.99999999988,6.200999999890692,3.924999999819187,8.95705294661785
32873.09999999988,6.186000000041744,4.1349999997724,9.120427756278321
32873.19999999988,6.197999999952803,4.296999999792016,9.274819429413984
32873.29999999988,6.254999999900197,4.529999999660012,9.405365301059637
32873.399999999885,6.329999999959544,4.7779999997960685,9.527332237062977
32873.499999999876,6.330999999979607,4.851999999960861,9.648882784581684
32873.599999999875,6.369999999973596,4.89899999991149,9.7763712498949
32873.699999999866,6.405999999847713,5.026999999743799,9.897421641156347
32873.799999999865,6.554999999946082,5.244999999819365,10.018484691345536
32873.89999999987,6.501000000003657,5.273000000027273,10.126453402360882
32873.99999999987,6.598999999866409,5.282999999922236,10.250728533512905
32874.09999999987,6.651999999937416,5.3679999999105315,10.36837198485618
32874.199999999866,6.73299999985744,5.378000000062388,10.494776982608926
32874.299999999865,6.807000000025152,5.347999999913967,10.637696419435636
32874.39999999986,6.785999999830064,5.422000000095799,10.769923419373507
32874.49999999986,6.983999999920522,5.301999999893623,10.929348884404574
32874.59999999986,6.885000000077263,5.505999999981341,11.065510398391302
32874.699999999866,6.982999999774562,5.338000000031702,11.233459579455392
32874.799999999865,7.1069999998987194,5.543999999720263,11.393445380725053
32874.899999999856,7.168999999830415,5.632999999797739,11.537302379023625
32874.999999999854,7.337999999771163,5.862999999696162,11.684084317134344
32875.099999999846,7.447999999866933,5.97399999992895,11.840446434857336
32875.19999999985,7.576999999717729,6.038999999819695,11.98983386062906
32875.29999999985,7.772999999835513,6.201999999786763,12.150208477168
32875.39999999985,7.819999999840473,6.305999999818381,12.310082354715526
32875.49999999985,7.996999999775817,6.470999999706656,12.462805365129777
32875.599999999846,8.087999999827781,6.686999999608548,12.608988956748235
32875.699999999844,8.26699999967541,6.925999999773501,12.747439863784333
32875.799999999836,8.44399999983105,7.000999999851363,12.901128118340996
32875.89999999984,8.464000000069829,7.178999999616902,13.0276627067841
32875.99999999984,8.467999999774385,7.365999999928253,13.150183359947901
32876.09999999984,8.662999999877009,7.34099999989214,13.286795010395371
32876.19999999984,8.650999999838781,7.465000000027767,13.412061143958965
32876.299999999836,8.857999999823788,7.298000000212526,13.577797644274956
32876.399999999834,8.833999999954656,7.296999999964298,13.728622417666125
32876.49999999983,8.956999999860564,7.289999999970451,13.907406557060876
32876.59999999983,8.996999999784755,7.3210000000334094,14.070421126400854
32876.69999999983,9.191999999820613,7.248000000106765,14.273231352220039
32876.79999999983,9.155000000145641,7.226000000017178,14.465371411502948
32876.89999999983,9.154999999798452,7.224999999940372,14.658302273032033
32876.999999999825,9.326999999759488,7.255000000069412,14.867479011670726
32877.099999999824,9.385999999953457,7.156000000143449,15.10120930769175
